Index,  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
82,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246918e+17,15,0,113," ""IP Address """, 127.0.0.1,,,,,,,,,,,,,,,,,,,
83,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246918e+17,15,0,113," ""MiniportIfIndex """,1,,,,,,,,,,,,,,,,,,,
84,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246918e+17,15,0,113," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
85,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724692e+17,15,0,113," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
86,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724692e+17,15,0,113," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
87,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246922e+17,15,0,152," ""Protocol """," ""tcpip.sys"""," ""TCPIP""",,,,,,,,,,,,,,,,,,
88,Microsoft-Windows-PktMon,0,75,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246922e+17,15,0,152," ""EtherType """," ""ARP """,,,,,,,,,,,,,,,,,,,
89,Microsoft-Windows-PktMon,0,75,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246923e+17,15,0,152," ""EtherType """," ""IPv4 """,,,,,,,,,,,,,,,,,,,
90,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246923e+17,15,0,152," ""MiniportIfIndex """,12,,,,,,,,,,,,,,,,,,,
91,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246923e+17,15,0,152," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
